('the', 'DET')43627
('fulton', 'NOUN')16
('county', 'NOUN')82
('grand', 'ADJ')34
('jury', 'NOUN')62
('said', 'VERB')1249
('friday', 'NOUN')46
('an', 'DET')2258
('investigation', 'NOUN')29
('of', 'IN')22896
("atlanta's", 'NOUN')4
('recent', 'ADJ')112
('primary', 'NOUN')5
('election', 'NOUN')47
('produced', 'VERB')49
('``', 'PUNCT')5436
('no', 'DET')1147
('evidence', 'NOUN')139
("''", 'PUNCT')5384
('that', 'CONJ')3960
('any', 'DET')828
('irregularities', 'NOUN')7
('took', 'VERB')264
('place', 'NOUN')320
('.', 'PERIOD')30841
('further', 'ADV')56
('in', 'IN')12736
('term-end', 'NOUN')1
('presentments', 'NOUN')1
('city', 'NOUN')250
('executive', 'ADJ')7
('committee', 'NOUN')86
(',', 'PERIOD')36126
('which', 'DET')2281
('had', 'VERB')3204
('over-all', 'ADJ')27
('charge', 'NOUN')66
('deserves', 'VERB')12
('praise', 'NOUN')10
('and', 'CONJ')17466
('thanks', 'NOUN')25
('atlanta', 'NOUN')19
('for', 'IN')5610
('manner', 'NOUN')72
('was', 'VERB')6020
('conducted', 'VERB')36
('september-october', 'NOUN')1
('term', 'NOUN')48
('been', 'VERB')1599
('charged', 'VERB')48
('by', 'IN')3260
('superior', 'ADJ')24
('court', 'NOUN')115
('judge', 'NOUN')42
('durwood', 'NOUN')1
('pye', 'NOUN')1
('to', 'TO')9236
('investigate', 'VERB')5
('reports', 'NOUN')37
('possible', 'ADJ')243
('hard-fought', 'ADJ')1
('won', 'VERB')48
('mayor-nominate', 'NOUN')1
('ivan', 'NOUN')4
('allen', 'NOUN')15
('jr.', 'NOUN')22
('only', 'ADV')854
('a', 'DET')14391
('relative', 'ADJ')29
('handful', 'NOUN')9
('such', 'ADJ')615
('received', 'VERB')97
('considering', 'IN')16
('widespread', 'ADJ')21
('interest', 'NOUN')203
('number', 'NOUN')294
('voters', 'NOUN')14
('size', 'NOUN')86
('this', 'DET')3205
('it', 'PRON')5479
('did', 'VERB')593
('find', 'VERB')246
('many', 'ADJ')610
("georgia's", 'NOUN')7
('registration', 'NOUN')8
('laws', 'NOUN')47
('are', 'VERB')2874
('outmoded', 'ADJ')4
('or', 'CONJ')2584
('inadequate', 'ADJ')22
('often', 'ADV')237
('ambiguous', 'ADJ')13
('recommended', 'VERB')20
('legislators', 'NOUN')14
('act', 'VERB')39
('have', 'VERB')2422
('these', 'DET')999
('studied', 'VERB')48
('revised', 'VERB')15
('to', 'IN')6923
('end', 'NOUN')206
('modernizing', 'VERB')3
('improving', 'VERB')9
('them', 'PRON')1113
('commented', 'VERB')11
('on', 'IN')3839
('other', 'ADJ')1062
('topics', 'NOUN')6
('among', 'IN')257
('purchasing', 'VERB')10
('departments', 'NOUN')12
('well', 'ADV')432
('operated', 'VERB')16
('follow', 'VERB')53
('generally', 'ADV')65
('accepted', 'VERB')58
('practices', 'NOUN')43
('inure', 'VERB')1
('best', 'ADJ')162
('both', 'DET')447
('governments', 'NOUN')41
('merger', 'NOUN')16
('proposed', 'VERB')58
('however', 'ADV')324
('believes', 'VERB')25
('two', 'NUM')894
('offices', 'NOUN')32
('should', 'MODAL')506
('be', 'VERB')3906
('combined', 'VERB')25
('achieve', 'VERB')34
('greater', 'ADJ')118
('efficiency', 'NOUN')17
('reduce', 'VERB')39
('cost', 'NOUN')143
('administration', 'NOUN')100
('department', 'NOUN')114
('is', 'VERB')6398
('lacking', 'VERB')23
('experienced', 'VERB')30
('clerical', 'ADJ')8
('personnel', 'NOUN')53
('as', 'CONJ')3766
('result', 'NOUN')128
('policies', 'NOUN')49
('urged', 'VERB')22
('take', 'VERB')377
('steps', 'NOUN')75
('remedy', 'VERB')2
('problem', 'NOUN')198
('implementation', 'NOUN')8
('automobile', 'NOUN')32
